Latitude,Longitude
  37.88689, -84.39592
  37.49757, -84.21656
  37.61596, -86.01954
  36.10305, -86.53288
  35.86898, -85.97556
  35.85185, -86.30538
  36.36034, -82.29619
  36.55407, -83.59179
  35.88012, -84.81131
  36.50279, -82.63092
  36.11432, -83.76175
  35.57635, -86.93052
  36.03523, -86.39132
  36.05769, -86.55408
  35.85717, -86.30371
  35.78837, -86.26852
  35.78767, -86.26756
  35.78627, -86.26673
  35.77730, -85.55717
  36.09261, -86.38315
  30.51298, -82.23373
  35.69053, -83.70359
  35.78754, -82.95946
  35.51357, -83.98518
  35.77076, -83.11061
  35.71845, -83.82290
  35.61829, -83.93975
  35.62812, -83.93535
  35.83561, -83.18007
  35.77610, -83.35511
  35.92859, -82.81325
  35.94297, -82.79222
  35.92233, -82.85756
  35.89396, -82.82310
  35.89441, -82.82285
  35.89660, -82.82375
  35.89859, -82.82682
  35.89896, -82.83266
  35.89907, -82.82760
  35.90015, -82.83842
  35.92163, -82.87190
  35.92252, -82.87124
  35.92436, -82.87006
  35.92613, -82.86839
  35.92654, -82.86665
  35.92970, -82.88121
  35.93102, -82.88238
  35.93224, -82.88466
  35.93512, -82.88748
  35.93607, -82.88831
  35.93897, -82.89156
  35.94175, -82.89413
  35.55570, -84.00001
  35.76776, -83.10886
  35.77051, -83.11054
  35.93337, -82.83903
  35.92518, -82.84802
  35.92849, -82.84520
  35.91954, -82.85345
  35.93778, -82.86615
  35.93803, -82.86513
  35.94072, -82.85421
  35.94233, -82.86450
  35.94412, -82.85642
  35.94476, -82.84484
  35.94562, -82.86365
  35.94662, -82.86954
  35.94686, -82.86785
  35.94691, -82.86554
  35.94714, -82.87205
  35.88911, -82.82422
  35.88593, -82.82251
  35.89013, -82.82466
  35.89059, -82.82491
  35.89092, -82.82502
  35.89118, -82.82508
  35.89191, -82.82548
  35.89257, -82.82575
  35.89344, -82.82208
  36.01963, -86.86360
  35.43753, -87.03472
  37.37970, -84.33230
  38.99864, -84.81771
  38.73476, -85.27807
  38.72011, -85.38393
  37.66037, -87.59884
  34.48000, -81.44000
  33.79000, -82.15000
  33.79000, -82.15000
  35.85020, -86.40786
  38.26191, -84.90509
  35.91029, -82.79114
  35.75215, -83.10898
  35.75985, -83.10686
  35.75985, -83.10686
  35.75985, -83.10686
  35.75985, -83.10686
  35.75215, -83.10898
  35.75215, -83.10898
  35.75215, -83.10898
  35.75215, -83.10898
  35.75215, -83.10898
  35.75215, -83.10898
  35.75215, -83.10898
  35.75985, -83.10686
  35.75985, -83.10686
  35.75985, -83.10686
  35.75985, -83.10686
  35.75985, -83.10686
  35.75985, -83.10686
  35.75985, -83.10686
  35.75215, -83.10898
  35.55403, -83.99280
  35.72419, -83.75157
  35.53764, -83.99076
  35.63916, -83.68969
  35.55815, -84.00959
  35.55815, -84.00959
  35.72419, -83.75157
  35.72419, -83.75157
  35.72419, -83.75157
  35.72419, -83.75157
  35.72419, -83.75157
  35.55403, -83.99280
  35.72419, -83.75157
  35.55403, -83.99280
  35.71693, -83.67396
  35.55403, -83.99280
  35.55403, -83.99280
  35.55815, -84.00959
  35.55815, -84.00959
  35.55815, -84.00959
  35.55403, -83.99280
  35.60942, -83.63726
  35.71693, -83.67396
  35.71693, -83.67396
  35.67255, -83.90113
  35.72717, -83.51734
  35.67255, -83.90113
  35.62213, -83.68095
  35.60942, -83.63726
  35.72717, -83.51734
  35.60942, -83.63726
  35.59803, -83.83983
  35.72419, -83.75157
  35.72419, -83.75157
  35.55815, -84.00959
  35.72419, -83.75157
  35.67255, -83.90113
  35.55815, -84.00959
  35.72717, -83.51734
  35.72717, -83.51734
  35.72717, -83.51734
  35.55815, -84.00959
  35.72717, -83.51734
  35.72717, -83.51734
  35.72717, -83.51734
  35.60942, -83.63726
  35.62213, -83.68095
  35.60757, -83.97881
  35.60757, -83.97881
  35.60757, -83.97881
  35.72419, -83.75157
  35.60757, -83.97881
  35.55815, -84.00959
  35.60757, -83.97881
  35.60757, -83.97881
  35.59803, -83.83983
  35.62213, -83.68095
  35.55403, -83.99280
  35.53642, -83.99060
  35.72419, -83.75157
  35.55815, -84.00959
  35.55815, -84.00959
  35.55403, -83.99280
  35.55815, -84.00959
  35.55815, -84.00959
  35.55815, -84.00959
  35.60757, -83.97881
  35.55403, -83.99280
  35.71693, -83.67396
  35.55815, -84.00959
  35.55815, -84.00959
  35.55815, -84.00959
  35.60757, -83.97881
  35.60757, -83.97881
  35.60757, -83.97881
  35.60757, -83.97881
  35.55815, -84.00959
  35.63916, -83.68969
  35.60942, -83.63726
  35.62213, -83.68095
  35.71693, -83.67396
  35.53764, -83.99076
  35.53642, -83.99060
  35.59803, -83.83983
  35.59803, -83.83983
  35.53642, -83.99060
  35.72419, -83.75157
  35.60942, -83.63726
  35.72717, -83.51734
  35.60757, -83.97881
  35.67255, -83.90113
  35.83679, -83.18982
  35.60757, -83.97881
  35.61167, -83.92862
  35.55815, -84.00959
  35.55815, -84.00959
  35.83679, -83.18982
  35.72717, -83.51734
  35.10130, -82.99149
  35.12293, -82.93358
  35.21780, -82.62954
  35.22552, -82.70427
  35.28861, -82.69720
  35.11348, -82.82076
  35.23609, -82.68047
  35.58323, -82.94373
  35.64906, -83.03654
  35.35211, -82.90894
  35.73780, -82.92807
  35.76170, -83.10271
  35.56534, -83.08212
  35.50485, -83.07731
  35.66085, -83.03062
  35.68131, -83.01333
  35.53462, -83.17151
  35.10333, -82.81712
  35.11229, -82.90270
  35.11230, -82.96373
  35.13205, -82.82374
  35.13776, -82.87682
  35.14104, -82.61671
  35.15308, -82.92005
  35.15382, -82.93989
  35.15751, -82.64182
  35.15752, -82.98955
  35.20524, -82.61800
  35.20540, -82.70540
  35.21532, -82.71473
  35.21956, -82.63963
  35.20397, -82.75362
  35.20483, -82.74804
  35.09619, -82.87505
  35.19103, -82.92150
  35.21508, -82.85696
  35.21642, -82.85718
  35.22503, -82.86197
  35.25419, -82.86079
  35.26076, -82.62246
  36.15032, -81.96022
  36.03087, -81.98624
  36.07388, -81.99979
  36.17616, -81.92841
  36.17764, -81.92203
  36.11782, -81.98938
  36.08102, -81.97016
  36.08579, -81.86716
  36.09038, -81.86083
  36.14279, -81.89637
  36.21142, -81.92366
  36.11881, -81.91077
  36.08059, -82.06247
  35.91375, -82.47974
  36.03376, -82.42429
  36.04053, -82.05850
  35.16529, -83.19025
  35.16121, -83.19618
  35.98893, -81.93471
  36.09464, -81.95602
  36.07908, -81.87960
  36.13815, -81.89326
  35.43684, -82.29192
  35.92720, -82.42660
  36.11227, -81.98539
  36.03398, -81.88766
  36.08332, -81.90487
  36.13324, -82.14416
  36.17864, -81.84328
  36.09345, -82.10204
  35.82969, -82.31888
  35.24139, -83.01016
  36.07396, -81.90746
  35.19630, -83.09012
  35.22795, -82.98015
  36.23765, -81.92912
  36.05890, -82.11184
  36.07980, -82.03521
  36.12104, -81.97983
  36.06409, -81.98519
  36.07822, -82.01548
  36.12911, -81.93493
  36.14097, -81.85532
  36.05611, -81.94907
  36.20323, -81.93870
  36.12371, -81.94399
  36.04239, -82.36080
  36.08710, -82.22745
  35.35658, -83.15146
  36.24524, -81.91424
  36.16372, -81.95512
  36.15838, -81.93560
  35.93926, -82.45259
  36.08453, -82.04101
  36.01948, -81.97109
  36.01985, -81.97219
  36.08683, -81.96947
  36.08429, -82.04987
  36.07306, -81.97995
  36.17558, -81.90352
  36.10299, -81.90262
  36.16989, -81.85042
  36.15374, -81.84640
  36.08394, -82.05864
  36.08518, -82.09656
  36.10096, -82.11904
  36.10421, -82.13321
  35.76087, -82.27202
  36.09439, -81.94073
  36.10273, -81.93317
  36.04612, -81.90244
  36.06518, -81.90601
  36.17451, -81.89558
  36.15952, -81.83114
  35.20092, -82.50451
  35.18474, -82.49533
  35.25282, -82.47060
  35.90195, -82.18580
  36.18935, -81.96292
  35.83488, -82.13640
  36.02665, -81.98328
  35.20641, -82.99293
  36.17209, -81.91133
  36.14680, -81.93315
  35.13368, -83.14654
  35.14164, -83.11676
  35.13078, -83.13511
  36.22364, -81.92790
  36.06945, -81.95165
  36.14956, -82.00283
  35.14988, -83.07352
  36.17382, -81.87125
  36.06242, -81.95209
  36.11774, -81.91589
  35.24474, -82.96365
  36.08749, -81.82680
  36.20058, -81.92610
  35.76978, -82.19472
  36.05310, -81.75191
  35.85714, -82.18474
  35.85699, -82.17993
  35.85820, -82.13698
  35.02879, -83.07447
  36.13298, -82.20886
  36.26503, -81.91892
  36.13089, -82.16341
  35.84154, -82.10760
  35.06942, -83.07440
  35.07494, -83.06913
  36.02200, -81.89272
  35.11272, -83.11364
  35.06993, -83.08850
  35.14853, -83.15240
  35.87173, -82.10143
  35.15628, -83.09840
  35.12458, -83.16815
  35.26768, -82.98891
  36.11351, -81.93909
  35.26817, -82.99545
  36.19742, -81.93021
  35.25165, -82.94524
  35.16815, -83.04560
  36.07963, -81.83319
  35.29638, -83.15466
  35.83908, -82.14358
  35.97117, -81.94680
  36.07534, -81.92462
  36.07552, -81.91611
  35.69407, -82.80345
  35.78840, -82.80069
  35.89351, -82.55265
  35.89657, -82.55281
  35.90205, -82.74477
  35.91092, -82.67609
  35.94060, -82.55224
  35.94483, -82.52523
  35.95913, -82.53196
  35.73713, -82.79351
  35.84982, -82.73396
  35.85037, -82.78033
  35.03215, -83.01731
  35.33811, -83.20015
  35.19897, -82.36949
  35.96291, -82.13754
  35.85955, -82.30292
  35.23743, -82.63356
  35.27965, -82.65885
  35.15353, -82.80243
  35.27462, -82.43379
  36.01590, -82.17276
  35.89071, -82.21471
  36.03528, -82.16847
  35.20916, -82.36815
  36.01989, -82.14958
  35.92344, -82.25178
  35.53565, -82.93797
  35.06406, -83.01059
  35.10924, -82.76324
  35.11146, -82.97247
  35.14086, -82.94077
  35.14740, -82.95588
  35.15492, -82.90102
  35.16012, -82.59550
  35.16026, -82.65913
  35.16439, -82.63931
  35.27488, -82.65237
  35.28399, -82.37689
  35.32261, -82.32353
  35.31354, -82.35207
  35.19738, -82.44999
  35.36026, -82.43928
  35.38945, -82.56762
  35.29898, -82.62298
  35.30019, -82.61621
  35.19455, -82.49752
  35.21017, -82.37543
  35.21304, -82.45843
  35.29213, -82.54838
  35.31638, -82.38276
  35.34873, -82.53463
  35.19533, -82.43457
  35.30002, -82.49388
  35.41128, -82.35675
  35.29673, -82.49028
  35.41040, -82.40979
  36.07981, -81.76521
  35.35372, -82.48308
  35.47137, -82.32905
  36.07746, -81.76664
  36.02746, -82.00800
  36.02533, -82.02143
  36.04076, -82.01097
  36.22411, -81.93917
  36.14766, -81.98500
  36.06876, -81.88121
  36.03456, -81.94413
  36.02549, -81.88578
  36.05722, -81.92406
  36.13105, -81.82004
  36.05095, -81.96483
  36.06590, -81.92993
  36.07872, -81.88369
  36.08928, -81.88999
  36.10132, -81.88394
  36.08523, -81.82883
  35.11469, -82.89774
  35.13213, -82.85687
  35.13261, -82.85722
  35.15188, -82.91063
  35.15214, -82.89476
  35.15458, -82.85810
  35.17307, -82.82000
  35.17428, -82.80438
  35.17446, -82.87367
  35.20539, -82.78417
  35.22428, -82.60791
  35.23008, -82.69676
  35.23082, -82.68947
  35.23858, -82.68035
  35.24950, -82.67123
  35.26014, -82.61715
  35.28835, -82.61839
  35.43074, -83.36150
  35.42053, -83.34242
  35.34000, -83.23165
  35.43825, -83.29745
  35.29900, -83.15944
  35.33376, -83.26029
  35.37584, -83.24748
  35.33893, -83.17398
  35.37943, -83.19926
  36.02216, -82.36200
  35.31049, -83.25139
  35.38192, -83.23895
  35.98764, -82.25750
  35.32181, -83.15742
  35.30716, -83.24580
  35.34519, -83.26064
  36.05490, -82.27596
  35.40353, -83.26178
  35.98469, -82.27096
  36.05474, -82.21731
  35.60300, -82.93906
  35.96889, -82.28354
  36.03199, -82.22733
  35.98953, -82.39144
  35.93241, -82.11115
  35.35909, -83.27507
  35.97333, -82.17989
  35.24704, -83.08113
  35.92124, -82.36434
  35.95761, -82.19005
  35.94889, -82.10767
  35.96178, -82.18525
  35.53214, -82.96776
  35.97533, -82.32189
  35.95724, -82.18475
  35.23104, -83.13701
  35.90171, -82.03476
  35.96613, -82.18459
  35.95565, -82.14630
  36.05317, -82.20769
  35.93922, -82.18087
  35.68817, -82.95463
  35.91788, -82.27634
  35.69044, -82.93317
  35.90699, -82.17982
  35.96337, -82.10518
  35.94593, -82.16899
  35.88177, -82.22078
  35.95215, -82.18391
  35.93692, -82.12225
  35.90569, -82.34613
  36.06392, -82.22272
  35.45865, -82.90409
  35.25064, -83.05857
  35.51152, -82.90016
  35.79047, -82.20429
  35.67818, -82.92905
  35.86594, -82.07501
  35.91467, -82.09237
  35.28658, -83.29991
  35.88201, -82.03908
  35.88498, -82.00495
  35.21130, -83.14888
  35.98909, -82.15431
  35.41512, -83.14647
  35.92781, -82.03660
  35.98395, -82.14826
  35.26526, -83.21597
  35.68301, -82.92724
  35.41914, -83.11173
  35.55100, -82.91161
  35.35524, -83.13114
  35.90770, -82.47328
  35.46865, -82.95473
  35.43305, -82.81430
  35.89639, -81.98498
  35.94436, -82.04605
  35.80459, -82.21720
  36.08808, -82.19100
  35.89684, -81.98994
  35.43127, -83.09503
  35.22473, -83.00244
  35.83950, -82.14962
  35.04545, -83.13757
  35.95323, -82.28704
  35.56505, -83.06081
  35.93753, -82.28076
  35.20858, -83.15399
  35.50450, -83.10917
  35.60767, -82.82609
  35.23161, -83.17799
  35.06451, -83.06695
  36.09643, -82.18309
  35.36859, -83.14999
  35.96305, -82.47259
  35.60446, -82.87255
  35.50500, -83.08520
  35.62587, -83.04203
  35.60256, -82.80899
  35.25701, -83.02808
  35.84701, -82.15894
  35.27085, -83.03321
  35.15614, -83.13702
  35.26466, -83.03065
  35.63916, -83.04735
  35.79471, -82.20964
  35.98706, -82.00476
  35.95877, -81.97024
  35.99823, -81.96232
  36.08954, -81.80570
  35.91572, -82.26822
  35.11430, -82.90187
  35.13376, -82.81948
  35.13841, -82.82980
  35.13907, -82.92509
  35.14155, -82.92843
  35.14938, -82.90862
  35.18233, -82.75604
  35.18550, -82.75775
  35.19037, -82.78600
  35.19803, -82.73948
  35.20202, -82.77653
  35.20358, -82.77240
  35.20540, -82.74380
  35.21041, -82.76099
  35.21562, -82.75450
  35.22213, -82.74677
  35.22277, -82.71022
  35.22396, -82.62767
  35.22858, -82.74773
  35.23935, -82.74840
  35.24000, -82.64360
  35.24566, -82.69869
  35.25090, -82.67678
  35.25469, -82.64302
  35.25488, -82.68233
  35.25740, -82.66207
  35.25939, -82.63362
  35.27052, -82.64902
  35.27095, -82.66576
  35.27245, -82.65314
  35.27335, -82.62660
  35.27634, -82.67652
  35.27873, -82.67199
  35.30758, -82.63661
  35.76255, -83.10489
  35.33768, -83.19984
  35.33615, -83.19956
  35.32301, -82.59542
  35.37332, -82.59199
  35.39072, -83.18544
  35.29983, -82.42556
  35.99981, -82.25345
  35.35028, -82.59771
  35.37963, -82.59070
  35.32959, -82.64239
  36.01889, -82.29185
  36.00574, -82.28477
  36.01286, -82.28946
  35.92117, -82.38605
  35.57339, -82.95662
  36.02809, -82.26202
  35.91991, -82.38616
  35.94918, -82.14467
  35.91331, -82.40591
  35.92987, -82.21708
  35.57912, -82.97065
  35.60290, -82.96987
  35.87341, -82.19991
  35.91354, -82.41744
  35.29001, -83.08503
  35.97665, -82.20612
  35.65488, -82.97854
  35.90173, -82.33873
  35.91355, -82.42394
  35.91372, -82.42107
  35.54447, -82.93585
  35.57961, -82.97582
  35.53721, -82.97304
  35.91349, -82.43165
  35.98014, -82.21429
  35.93057, -82.40725
  35.51948, -82.99464
  35.88030, -82.40534
  35.87999, -82.06673
  35.61414, -82.97963
  36.05955, -82.22834
  35.41391, -83.19142
  35.60203, -83.00047
  35.93033, -82.25274
  35.58947, -82.99643
  35.89259, -82.03774
  35.90402, -82.30076
  35.59853, -82.89757
  35.55278, -82.81417
  35.90155, -82.01968
  35.69957, -82.94740
  35.97973, -82.38650
  35.91389, -82.33267
  35.45334, -82.90841
  35.62307, -82.89829
  35.88366, -82.37224
  35.51340, -82.81260
  35.48725, -82.85737
  35.91387, -82.45783
  35.86982, -82.07108
  35.61196, -82.87281
  35.85230, -82.30750
  36.00708, -82.42372
  35.98368, -81.98349
  36.02978, -82.00373
  35.76976, -82.18396
  35.98976, -81.98340
  35.48545, -82.82966
  35.56410, -82.89031
  35.44284, -82.99674
  36.04198, -82.00205
  35.65233, -82.94348
  35.47184, -83.05103
  36.16944, -81.99091
  36.06212, -82.13843
  36.04343, -81.96306
  36.10943, -81.90075
  35.35227, -82.50339
  35.14084, -82.91635
  35.14743, -82.64615
  35.19482, -82.79399
  35.41818, -83.33484
  35.29230, -82.35974
  35.39541, -83.30855
  35.33836, -83.23092
  35.31816, -83.18853
  35.44833, -83.30673
  35.20391, -82.46588
  35.30542, -82.62086
  36.02037, -82.34092
  36.03612, -82.29531
  35.25799, -82.40732
  35.33362, -82.53461
  35.36666, -82.58198
  35.32346, -82.40694
  35.30380, -83.18124
  35.34104, -82.54209
  35.18325, -82.43677
  35.42984, -82.57425
  35.43208, -82.57395
  35.29279, -83.17814
  35.29367, -83.17812
  35.28353, -83.13557
  35.29153, -83.17884
  35.17534, -82.44339
  35.34074, -82.34650
  35.17880, -82.43622
  35.41628, -82.36209
  35.38034, -83.19103
  35.42699, -82.34323
  35.38491, -83.18233
  35.36236, -83.19077
  35.30566, -83.17537
  35.42924, -82.32492
  35.98232, -82.29791
  35.38621, -83.25252
  35.97683, -82.29849
  35.97325, -82.30514
  35.97085, -82.30708
  35.67628, -82.97845
  35.95380, -82.32324
  36.06728, -82.21071
  36.02402, -82.17917
  35.90736, -82.19183
  35.90203, -82.38853
  35.59756, -82.93387
  35.94158, -82.33798
  35.94245, -82.34017
  36.02589, -82.23620
  35.91576, -82.35025
  35.37312, -82.28840
  35.68823, -82.94456
  35.94015, -82.33870
  35.94756, -82.15137
  36.01384, -82.12488
  35.52079, -82.84852
  35.53422, -82.96949
  35.38860, -82.30257
  35.93507, -82.16235
  35.50511, -82.96296
  35.50661, -82.96501
  35.58873, -82.94138
  35.93271, -82.34598
  36.00854, -82.13945
  35.59557, -82.97343
  36.03186, -82.14520
  35.37531, -82.30293
  35.50784, -82.85160
  35.59368, -82.96838
  35.89446, -82.36964
  36.06000, -82.23882
  35.50244, -82.85799
  35.96762, -82.34083
  35.87162, -82.40743
  35.90351, -82.11175
  35.99640, -82.15656
  35.90386, -82.10989
  35.51488, -82.82225
  35.40467, -83.12885
  35.58117, -82.83038
  35.97466, -82.13077
  35.54891, -82.82184
  35.89904, -82.43801
  35.26114, -83.22022
  35.48679, -82.85007
  35.97889, -82.14383
  35.51251, -82.89266
  35.40786, -83.13673
  35.93125, -82.28647
  35.39466, -82.27394
  36.06963, -82.00061
  35.23293, -82.99746
  36.03007, -82.07196
  35.20000, -83.14047
  36.17902, -81.98582
  36.05135, -81.91720
  35.23159, -82.97457
  36.03863, -81.95225
  35.57274, -83.07440
  35.90288, -82.22417
  36.01022, -82.40973
  35.90012, -82.07458
  35.29124, -83.23827
  35.80018, -82.85269
  35.53469, -82.82758
  35.15421, -82.92836
  35.17592, -82.78132
  35.17996, -82.80001
  35.18378, -82.79538
  35.18555, -82.78968
  35.23610, -82.61749
  35.23672, -82.62081
  35.26553, -82.67920
  35.43405, -83.34309
  35.41198, -82.31581
  35.32315, -83.18955
  35.31990, -83.17488
  35.34602, -82.45686
  35.33844, -83.23945
  35.44659, -83.29267
  35.34164, -82.57569
  35.34343, -82.58550
  35.34440, -83.20011
  35.29730, -82.40997
  35.27795, -82.39963
  35.46134, -83.27620
  35.35926, -82.40325
  35.42553, -82.34472
  35.99217, -82.27345
  36.02662, -82.27075
  36.04171, -82.32841
  35.30629, -83.26433
  36.00354, -82.18144
  36.03043, -82.26492
  35.67655, -82.98982
  35.28987, -83.09349
  36.06917, -82.30767
  36.02662, -82.23071
  35.97896, -82.20913
  35.94200, -82.14664
  36.04635, -82.26751
  35.89137, -82.14878
  35.90875, -82.04893
  36.02233, -82.23814
  36.02407, -82.23867
  35.90429, -82.17339
  35.90372, -82.15729
  35.98541, -82.18124
  35.93029, -82.17819
  35.93085, -82.09345
  35.89751, -82.06791
  36.27599, -81.90589
  35.86899, -82.04641
  35.47646, -82.96256
  35.99755, -82.15019
  35.96605, -82.26904
  35.97198, -82.20786
  35.45230, -82.83794
  35.45971, -82.84864
  35.56069, -82.84171
  35.92709, -82.41273
  35.97051, -82.01110
  35.86353, -82.03668
  35.58666, -82.82390
  36.02191, -82.08709
  35.94988, -82.04661
  35.98115, -82.14669
  36.27411, -81.91194
  35.61518, -83.02950
  35.44455, -82.37648
  36.24371, -81.91244
  35.90893, -82.47192
  36.17823, -81.96116
  35.47431, -82.94862
  36.06328, -81.99962
  35.90460, -82.45404
  36.16747, -81.94091
  35.47290, -82.94080
  36.22082, -81.93670
  36.17260, -81.93737
  36.24034, -81.91747
  36.04399, -81.99008
  36.23903, -81.92490
  35.44269, -83.06031
  36.10671, -81.99502
  36.21680, -81.93996
  36.00875, -81.95030
  35.44351, -82.79328
  36.23157, -81.93406
  35.58658, -82.87362
  35.85808, -82.10685
  36.22996, -81.93037
  36.03696, -81.97516
  35.21378, -83.18203
  35.66013, -82.99611
  35.99481, -82.29971
  35.94618, -82.20401
  35.95255, -82.45239
  35.89764, -82.17880
  35.55422, -82.95302
  35.10949, -82.74208
  35.12027, -82.86849
  35.13546, -82.82174
  35.14139, -82.82454
  35.14348, -82.83850
  35.14875, -82.64627
  35.17645, -82.76579
  35.20607, -82.77393
  35.22885, -82.70541
  35.25531, -82.69754
  35.26419, -82.69281
  35.76269, -83.10778
  35.45259, -82.29726
  35.76053, -83.10129
  35.46598, -83.32157
  35.35540, -83.24698
  35.36543, -83.24880
  35.22478, -82.43178
  35.37214, -83.26677
  36.02885, -82.33678
  35.31560, -83.17811
  35.34703, -83.23881
  35.42649, -83.30361
  35.34291, -82.55307
  35.38602, -82.61418
  35.31276, -83.17075
  35.45653, -83.33562
  35.29537, -82.59186
  35.30629, -82.42941
  35.34230, -83.23401
  36.02258, -82.27723
  35.37541, -83.26614
  36.00616, -82.25455
  35.29570, -83.16603
  36.03517, -82.34044
  35.29505, -83.16488
  35.33821, -82.53341
  35.99845, -82.26251
  36.00780, -82.25271
  36.00115, -82.25167
  35.33055, -82.55292
  35.98944, -82.24906
  36.03964, -82.29703
  36.00135, -82.27037
  35.26727, -83.12278
  35.36663, -82.43756
  35.99091, -82.25445
  36.01769, -82.35556
  36.00282, -82.37394
  36.05408, -82.30109
  35.26285, -83.12486
  35.98839, -82.25100
  35.36497, -83.29979
  35.99415, -82.29452
  35.28234, -83.19391
  35.99177, -82.19735
  36.08732, -82.33190
  35.99649, -82.37224
  35.47606, -82.30602
  35.40524, -83.15877
  35.24664, -83.18553
  36.05655, -82.26881
  35.97883, -82.39528
  35.53661, -82.79170
  36.01322, -82.18916
  35.40562, -83.25827
  35.29349, -83.10691
  35.99376, -82.35800
  35.38612, -83.23262
  35.96619, -82.38644
  35.66951, -82.99362
  35.96018, -82.38148
  36.01796, -82.18312
  36.05901, -82.28197
  35.28327, -83.20165
  35.96000, -82.31990
  35.96918, -82.31754
  35.62212, -82.97144
  35.97703, -82.31577
  36.02205, -82.22052
  35.40439, -83.14122
  35.94831, -82.37113
  35.56084, -82.95404
  35.91434, -82.21352
  35.91071, -82.22396
  35.54917, -82.94048
  36.02079, -82.37125
  35.60063, -82.93517
  36.01201, -82.13811
  36.00486, -82.40629
  35.54926, -82.93917
  35.41494, -83.25837
  35.54743, -82.93545
  35.89701, -82.14544
  35.91567, -82.25047
  35.28222, -83.26506
  35.43340, -82.31264
  35.91294, -82.18868
  35.22268, -83.14050
  35.90522, -82.33495
  36.04830, -82.25147
  35.89355, -82.14857
  35.98731, -82.41963
  35.60720, -83.01422
  35.68770, -82.97518
  35.90184, -82.14645
  35.34703, -83.16141
  35.53068, -82.94478
  35.89504, -82.06732
